order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran
ENG_ENG,down,1,1.3546,0,0,0,2,1,green,verde,green,down,1,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,1.3384,0,1,1,3,1,green,verde,blue,right,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.7712,0,2,2,5,1,blue,blu,red,left,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.5229,0,3,3,0,1,red,rosso,red,left,1,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,1.3682,0,4,4,4,1,blue,blu,blue,right,1,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.7427,0,5,5,1,1,red,rosso,green,down,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.6112,1,0,6,2,1,green,verde,green,down,1,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.6107,1,1,7,1,1,red,rosso,green,down,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.821,1,2,8,3,1,green,verde,blue,right,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.4898,1,3,9,5,1,blue,blu,red,left,0,19,001,f,8,3,2021-11-19_09h44.36.286,stroop,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,,,,,,,,,,,,
