order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5399,3,0,18,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.5787,3,1,19,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.4519,3,2,20,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.8586,3,3,21,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.7107,3,4,22,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.846,3,5,23,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.6527,4,0,24,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.5125,4,1,25,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.4206,4,2,26,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.6279,4,3,27,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.4575,4,4,28,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.7102,4,5,29,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.6724,5,0,30,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.4761,5,1,31,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.9262,5,2,32,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.5947,5,3,33,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.6056,5,4,34,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.6374,5,5,35,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5563,6,0,36,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.625,6,1,37,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.7236,6,2,38,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.7686,6,3,39,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.4618,6,4,40,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.4933,6,5,41,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.6985,7,0,42,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.4506,7,1,43,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.524,7,2,44,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.4859,7,3,45,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5539,7,4,46,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.5788,7,5,47,5,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.7465,0,0,0,3,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.4608,0,1,1,0,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.6704,0,2,2,1,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.4515,0,3,3,2,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.539,0,4,4,4,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.4517,0,5,5,5,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,0,0.4525,1,0,6,1,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.4914,1,1,7,0,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.4916,1,2,8,4,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.5436,1,3,9,2,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.5278,1,4,10,3,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.4471,1,5,11,5,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5244,2,0,12,5,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.4722,2,1,13,3,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5966,2,2,14,0,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.4617,2,3,15,2,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.4358,2,4,16,1,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.4701,2,5,17,4,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.4353,3,0,18,3,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.4753,3,1,19,5,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.5112,3,2,20,1,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.4608,3,3,21,2,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.4869,3,4,22,4,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5156,3,5,23,0,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.6284,4,0,24,3,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5441,4,1,25,5,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.5419,4,2,26,4,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.4638,4,3,27,2,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5294,4,4,28,0,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,0,0.4569,4,5,29,1,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,1.0956,5,0,30,5,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.6483,5,1,31,2,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.5912,5,2,32,3,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,0,0.5426,5,3,33,1,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,1.3035,5,4,34,0,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,0,0.8112,5,5,35,4,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.7331,6,0,36,5,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.6441,6,1,37,1,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.6628,6,2,38,0,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.6602,6,3,39,2,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.5778,6,4,40,4,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.5473,6,5,41,3,1
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.7308,7,0,42,5,1
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.6534,7,1,43,2,1
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,left,1,0.5251,7,2,44,0,1
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.8415,7,3,45,3,1
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,down,1,0.7491,7,4,46,1,1
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,right,1,0.9481,7,5,47,4,1
,,,,,,,,,,,,,,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,
