order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran
ITA_ENG,down,1,0.9414,0,0,0,2,1,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.7609,0,1,1,5,1,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,0,0.7289,0,2,2,3,1,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.7102,0,3,3,4,1,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,1,0.7909,0,4,4,1,1,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.6603,0,5,5,0,1,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.9253,1,0,6,5,1,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.7613,1,1,7,3,1,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,1,0.6403,1,2,8,2,1,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.5721,1,3,9,0,1,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,0,0.732,1,4,10,1,1,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.6621,1,5,11,4,1,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.8643,2,0,12,3,1,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.6978,2,1,13,5,1,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,right,1,0.6777,2,2,14,4,1,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,1,0.7105,2,3,15,1,1,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,down,1,0.4729,2,4,16,2,1,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,left,1,0.47,2,5,17,0,1,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.68,0,0,0,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.6447,0,1,1,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.9766,0,2,2,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,0,0.5203,0,3,3,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.6888,0,4,4,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.7404,0,5,5,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,0,0.4266,1,0,6,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.6206,1,1,7,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.5943,1,2,8,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5523,1,3,9,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.529,1,4,10,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,1.2989,1,5,11,1,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,blue,right,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5119,2,0,12,4,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,red,left,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.7113,2,1,13,0,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,blue,blu,red,left,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,left,1,0.648,2,2,14,5,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,blue,right,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,right,1,0.5949,2,3,15,3,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,green,verde,green,down,1,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.6931,2,4,16,2,1,,,,,,,,,,,,,,,,,,
ITA_ENG,,,,,,,,,red,rosso,green,down,0,22,001,m,8,3,2021-11-19_09h43.53.421,stroop,2021.2.3,Win32,59.62673663,down,1,0.7512,2,5,17,1,1,,,,,,,,,,,,,,,,,,
