order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran
ENG_ENG,right,1,0.845,0,0,0,3,1,green,verde,blue,right,0,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.712,0,1,1,2,1,green,verde,green,down,1,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.611,0,2,2,1,1,red,rosso,green,down,0,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.804,0,3,3,5,1,blue,blu,red,left,0,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,1.02,0,4,4,0,1,red,rosso,red,left,1,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.69,0,5,5,4,1,blue,blu,blue,right,1,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.471,1,0,6,4,1,blue,blu,blue,right,1,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.575,1,1,7,5,1,blue,blu,red,left,0,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.445,1,2,8,0,1,red,rosso,red,left,1,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.894,1,3,9,3,1,green,verde,blue,right,0,11,001,M,8,3,2021-11-19_09h43.59.597,stroop,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,
