order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran
ENG_ENG,down,1,1.2991,0,0,0,1,1,red,rosso,green,down,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.7075,0,1,1,5,1,blue,blu,red,left,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,down,1,0.5683,0,2,2,2,1,green,verde,green,down,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.9838,0,3,3,4,1,blue,blu,blue,right,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,right,1,0.7289,0,4,4,3,1,green,verde,blue,right,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ENG,left,1,0.6313,0,5,5,0,1,red,rosso,red,left,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,red,rosso,green,down,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,down,1,0.919,0,0,0,1,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,red,rosso,red,left,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,left,1,0.5224,0,1,1,0,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,green,down,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,down,1,0.4349,0,2,2,2,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,blue,right,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,right,1,0.8385,0,3,3,3,1,,,,,,,,,,,,,,,,,,
