order,respPRA.keys,respPRA.corr,respPRA.rt,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_practice.ran,word,parola,letterColor,corrAns,congruent,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,OS,frameRate,respENG.keys,respENG.corr,respENG.rt,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Eng.ran,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,loop_break.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,respITA.keys,respITA.corr,respITA.rt,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_Ita.ran
ENG_ITA,,,,,,,,,blue,blu,red,left,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,down,0,0.6343,0,4,4,5,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,blue,blu,blue,right,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,right,1,0.6317,0,5,5,4,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,red,rosso,green,down,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,down,1,0.7192,1,0,6,1,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,green,down,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,down,1,0.5274,1,1,7,2,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,blue,blu,blue,right,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,right,1,0.5943,1,2,8,4,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,blue,blu,red,left,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,left,1,0.687,1,3,9,5,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,blue,right,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,right,1,0.7696,1,4,10,3,1,,,,,,,,,,,,,,,,,,
ENG_ITA,,,,,,,,,red,rosso,red,left,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,left,1,0.6804,1,5,11,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,
ENG_ITA,,,,,,,,,green,verde,green,down,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,down,1,1.699,0,0,0,2,1
ENG_ITA,,,,,,,,,blue,blu,blue,right,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,right,1,0.5703,0,1,1,4,1
ENG_ITA,,,,,,,,,green,verde,blue,right,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,down,0,0.6959,0,2,2,3,1
ENG_ITA,,,,,,,,,blue,blu,red,left,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,left,1,0.6483,0,3,3,5,1
ENG_ITA,,,,,,,,,red,rosso,green,down,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,down,1,0.994,0,4,4,1,1
ENG_ITA,,,,,,,,,red,rosso,red,left,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,left,1,0.9354,0,5,5,0,1
ENG_ITA,,,,,,,,,blue,blu,red,left,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,left,1,0.7451,1,0,6,5,1
ENG_ITA,,,,,,,,,green,verde,green,down,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,down,1,0.5264,1,1,7,2,1
ENG_ITA,,,,,,,,,red,rosso,red,left,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,left,1,0.4981,1,2,8,0,1
ENG_ITA,,,,,,,,,red,rosso,green,down,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,down,1,0.8826,1,3,9,1,1
ENG_ITA,,,,,,,,,blue,blu,blue,right,1,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,right,1,1.0202,1,4,10,4,1
ENG_ITA,,,,,,,,,green,verde,blue,right,0,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,,,,,,right,1,2.1139,1,5,11,3,1
,,,,,,,,,,,,,,3,001,F,2,1,2021-11-19_09h44.44.163,stroop,2021.2.3,Win32,59.66231132,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,
