word,parola,letterColor,corrAns,congruent,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_Eng.thisRepN,loop_Eng.thisTrialN,loop_Eng.thisN,loop_Eng.thisIndex,loop_Ita.thisRepN,loop_Ita.thisTrialN,loop_Ita.thisN,loop_Ita.thisIndex,loop_break.thisRepN,loop_break.thisTrialN,loop_break.thisN,loop_break.thisIndex,text_4.started,text_4.stopped,order,stimolo_3.started,stimolo_3.stopped,respPRA.keys,respPRA.corr,respPRA.rt,respPRA.started,respPRA.stopped,feedback_msg.started,feedback_msg.stopped,stimolo.started,stimolo.stopped,respENG.keys,respENG.corr,respENG.rt,respENG.started,respENG.stopped,text.started,text.stopped,stimolo_2.started,stimolo_2.stopped,respITA.keys,respITA.corr,respITA.rt,respITA.started,respITA.stopped,participant,session,gender (m/f),rep,practice,date,expName,psychopyVersion,frameRate,
blue,blu,blue,right,1,0,0,0,4,,,,,,,,,,,,,,,,,17.77071584499936,None,ENG_ENG,18.41366037300031,None,right,1,0.4971107759993174,18.41366037300031,None,18.94782148500235,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
red,rosso,red,left,1,0,1,1,0,,,,,,,,,,,,,,,,,,,ENG_ENG,19.927890088001732,None,right,0,0.2586305959994206,19.927890088001732,None,20.205065385001944,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
blue,blu,red,left,0,0,2,2,5,,,,,,,,,,,,,,,,,,,ENG_ENG,21.202549559006002,None,right,0,0.2399352970023756,21.202549559006002,None,21.454628327002865,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
green,verde,green,down,1,0,3,3,2,,,,,,,,,,,,,,,,,,,ENG_ENG,22.461951570003293,None,right,0,0.2556194959979621,22.461951570003293,None,22.730782562000968,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
red,rosso,green,down,0,0,4,4,1,,,,,,,,,,,,,,,,,,,ENG_ENG,23.739569858000323,None,right,0,0.3540188879997004,23.739569858000323,None,24.104367022999213,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
green,verde,blue,right,0,0,5,5,3,,,,,,,,,,,,,,,,,,,ENG_ENG,25.116169101005653,None,right,1,0.18923686999914935,25.116169101005653,None,25.321145255002193,None,,,,,,,,,,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
green,verde,blue,right,0,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,ENG_ENG,,,,,,,,,,27.23307617699902,None,down,0,0.8711933109952952,27.23307617699902,None,28.120492731999548,None,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
blue,blu,red,left,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,ENG_ENG,,,,,,,,,,29.131781846001104,None,down,0,0.2923493350026547,29.131781846001104,None,29.43855369600351,None,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
blue,blu,blue,right,1,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,ENG_ENG,,,,,,,,,,30.445489964004082,None,down,0,0.15260440100246342,30.445489964004082,None,30.612349818999064,None,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
red,rosso,red,left,1,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,ENG_ENG,,,,,,,,,,31.62343614900601,None,down,0,0.15072163500008173,31.62343614900601,None,31.78748614399956,None,,,,,,,,3,001,f,1,1,2021_Nov_18_2011,stroop,2021.2.3,156.6100097056716,
